round_epochs,loss,accuracy,val_loss,val_accuracy,Name,activation,batch_size,cell1,cell2,curversion,db,dbnumber,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,rootpath,shapes,shuff,size
1,1.2303917099018487,0.45765308,1.3452122688293457,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.2533194500572828,0.46071428,1.3327641010284423,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.3853147993282395,0.4147959,1.3262527942657472,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.2702011463593463,0.46632653,1.3332631587982178,0.5,modelStandard,relu,4,40,30,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.192085092894885,0.4760204,1.3246569395065309,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.171867214416971,0.4857143,1.3274067878723144,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.1950116763309557,0.49183673,1.3286596059799194,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.1989201163759038,0.47678572,1.3271988391876222,0.5,modelStandard,relu,4,40,50,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.3040746518543789,0.4260204,1.3522766828536987,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.3076486431822485,0.4408163,1.3458021402359008,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.3167892251695905,0.42857143,1.3041155338287354,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.3052241763290093,0.4364796,1.3147948503494262,0.5,modelStandard,relu,4,60,30,v1/,db/,500,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.2759542450612904,0.4482143,1.3113821983337401,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.2181090396277758,0.47040817,1.302424931526184,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,1.2885122603299666,0.44056123,1.3161070346832275,0.5,modelStandard,relu,4,60,50,v1/,db/,500,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
