round_epochs,loss,accuracy,val_loss,val_accuracy,Name,activation,batch_size,cell1,cell2,curversion,db,dbnumber,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,rootpath,shapes,shuff,size
1,1.296323021108454,0.53227276,1.1663586115837097,0.5,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2960475812054644,0.52893937,1.2516561222076417,0.5,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3100532289707298,0.5243939,1.0567818689346313,0.56,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2988262722227308,0.524596,1.4182426309585572,0.5,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2829938836772032,0.534899,0.9790000486373901,0.645,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2841777658944178,0.5319192,1.1715778589248658,0.585,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.310447593843094,0.5188384,1.0941422367095948,0.57,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2853848445054257,0.53090906,0.9841323280334473,0.565,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3162234849881644,0.5185354,1.228624291419983,0.555,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3355198311083245,0.52752525,1.120664324760437,0.59,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2958889347375042,0.52570707,1.090960304737091,0.53,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2892276960912377,0.53176767,1.1525043487548827,0.63,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2907506121288645,0.5243939,1.0349129366874694,0.585,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2662573457245876,0.5418687,1.1008264780044557,0.55,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2640186233953996,0.5441919,0.7042396116256714,0.775,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2377327043600757,0.54939395,0.9160743117332458,0.675,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3349793440404565,0.49878788,1.375378861427307,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3527417117417462,0.49585858,1.3390925359725951,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3682479035733925,0.49186867,1.31899320602417,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.336570608543627,0.5007576,1.3237731504440307,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2985512612082741,0.51525253,1.2487211799621583,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2911654909933457,0.5127778,1.2560799264907836,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3205198993345704,0.5070707,1.3534006977081299,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3163558612688624,0.51257575,1.3399423122406007,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3449559235331987,0.49934343,1.321160249710083,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3574927869950881,0.49424243,1.2477263402938843,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3533584631813897,0.49257576,1.2456167316436768,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3683731861788817,0.5010101,1.1920945072174072,0.56,modelStandard,relu,8,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3260087529818216,0.49565658,1.1405952262878418,0.645,modelStandard,relu,8,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3314374384253915,0.50540406,1.2678799200057984,0.55,modelStandard,relu,8,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.331389210874384,0.5007071,1.295016384124756,0.5,modelStandard,relu,8,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
