round_epochs,loss,accuracy,val_loss,val_accuracy,Name,activation,batch_size,cell1,cell2,curversion,db,dbnumber,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,rootpath,shapes,shuff,size
1,0.28633237619562113,0.9027778,0.002549862042069435,1.0,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.321334716268213,0.88242424,0.00620887391269207,1.0,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.35137953507318864,0.8753535,0.009043142907321453,1.0,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.3084726392787721,0.88646466,0.002296103052794933,1.0,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.23013250405869606,0.91742426,0.003724675076082349,1.0,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.24539716214186164,0.91333336,0.001689146962016821,1.0,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.2472884529121126,0.91429293,0.0016900874674320222,1.0,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.2771810225464846,0.89984846,0.0018071182584390045,1.0,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.2814773824954443,0.8963636,0.0028775751683861018,1.0,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.2836660093128813,0.894596,0.002429026048630476,1.0,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.3254427686694897,0.8759596,0.003822795823216438,1.0,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.3604043316951191,0.8648485,0.007378590479493141,1.0,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.23418343011983622,0.9134849,0.0018031803891062736,1.0,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.23082463458961233,0.91732323,0.007486186884343624,1.0,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.28617555638034403,0.8974242,0.0017353219166398048,1.0,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,False,50
1,0.23961188306462847,0.9138889,0.001132729658856988,1.0,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,False,50
