round_epochs,loss,accuracy,val_loss,val_accuracy,Name,activation,batch_size,cell1,cell2,curversion,db,dbnumber,dropout,epochs,filters,first_neuron,losses,num_layers,optimizer,output_activation,rootpath,shapes,shuff,size
1,1.2754415090637978,0.5440909,1.8775078773498535,0.095,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2800340428978505,0.54085857,6.955610370635986,0.155,modelStandard,relu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2868094345054242,0.53979796,2.434454936981201,0.5,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3112793979741106,0.5310606,1.3963961029052734,0.5,modelStandard,relu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2678204302354292,0.5460606,1.988608808517456,0.5,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.26845129986002,0.5478788,2.8592231941223143,0.395,modelStandard,relu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2725680847842284,0.5461616,1.4184782600402832,0.265,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2737100618535822,0.54464644,1.4974036979675294,0.4,modelStandard,relu,4,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2849328655185122,0.53924245,2.262465057373047,0.145,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2553497677379184,0.5482323,4.817265396118164,0.315,modelStandard,relu,4,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2820888384905729,0.54065657,2.5184967613220213,0.13,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2873903926213581,0.5360101,1.893304672241211,0.5,modelStandard,relu,4,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2637860329945882,0.54565656,6.08982292175293,0.5,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.265612465010749,0.54676765,4.59992488861084,0.085,modelStandard,relu,4,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2878250134111655,0.53909093,1.496577501296997,0.31,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2917600101894802,0.53909093,1.3525101661682128,0.5,modelStandard,relu,4,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.307308829143794,0.5265657,1.3809728717803955,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3124003794217352,0.52929294,1.3913839054107666,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3163985286577784,0.5218687,1.364986743927002,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3193965498124711,0.5207071,1.3749489402770996,0.5,modelStandard,relu,8,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2931556894803289,0.5381313,1.3724342489242554,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2930897892364348,0.535,1.3674191188812257,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3022984230638754,0.53176767,1.3635994577407837,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3041943871372879,0.5290404,1.3654774188995362,0.5,modelStandard,relu,8,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3024344252095077,0.525101,1.4598569583892822,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3089553814704973,0.5268687,1.3930269765853882,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3401316360993818,0.5112121,1.4252964496612548,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3270259979517773,0.51525253,1.3693085384368897,0.5,modelStandard,relu,8,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2967640266514788,0.53050506,1.4201359415054322,0.5,modelStandard,relu,8,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2964399249625929,0.5323737,1.387085132598877,0.5,modelStandard,relu,8,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.310296654990225,0.530303,1.3676164722442627,0.5,modelStandard,relu,8,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3094041902850373,0.5284848,1.3668916606903077,0.5,modelStandard,relu,8,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3541366379670423,0.50489897,1.39972825050354,0.5,modelStandard,relu,16,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3723420776020396,0.49227273,1.3964419317245484,0.5,modelStandard,relu,16,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3796507942796958,0.49156564,1.3897995805740357,0.5,modelStandard,relu,16,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.389128888255418,0.48631313,1.3870023679733277,0.5,modelStandard,relu,16,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3420815615220503,0.5136869,1.3912103843688965,0.5,modelStandard,relu,16,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.349601312887789,0.50919193,1.4007486915588379,0.5,modelStandard,relu,16,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3523747452340944,0.5085859,1.3948870420455932,0.5,modelStandard,relu,16,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3750427058730463,0.49025252,1.3935024881362914,0.5,modelStandard,relu,16,40,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3524193047032211,0.50166667,1.4033622360229492,0.5,modelStandard,relu,16,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3672154851393266,0.49641415,1.4079170417785645,0.5,modelStandard,relu,16,60,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3876894715819696,0.4882323,1.3905248022079468,0.5,modelStandard,relu,16,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3883452065785726,0.48979798,1.3905605173110962,0.5,modelStandard,relu,16,60,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3447386102965384,0.5114142,1.4039414405822754,0.5,modelStandard,relu,16,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.346631017501908,0.50974745,1.3940710210800171,0.5,modelStandard,relu,16,60,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3547184804954915,0.5060606,1.4060399675369262,0.5,modelStandard,relu,16,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.3503885167054455,0.5069697,1.3994073009490966,0.5,modelStandard,relu,16,60,50,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2761582970860028,0.5428788,2.9073670387268065,0.25,modelStandard,elu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2753221266197436,0.5417172,3.4497035217285155,0.5,modelStandard,elu,4,40,30,v1/,db/,3000,0.2,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2905692733899512,0.53833336,1.6083358573913573,0.55,modelStandard,elu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2972945330841372,0.5381313,1.494106378555298,0.5,modelStandard,elu,4,40,30,v1/,db/,3000,0.3,1,64,32,logcosh,5,Adam,sigmoid,/data1/shengjun/HandWash/,brick,True,50
1,1.2768278572776102,0.5443434,5.867580261230469,0.145,modelStandard,elu,4,40,50,v1/,db/,3000,0.2,1,64,32,logcosh,5,AdaDelta,sigmoid,/data1/shengjun/HandWash/,brick,True,50
